Prospect_ID,External_ID,EPA_Facility_ID,Account_Name,Account_Site,Parent_Company,Parent_Ownership_Pct,Industry_Sector,NAICS_Code,City,State,ZIP_Code,Address,County,Latitude,Longitude,Total_Direct_Emissions_mtCO2e,Operational_Scale_Band,Target_Decision_Maker_Role,Secondary_Decision_Maker_Role,Decision_Maker_Data_Type,Campaign_Segment,Suggested_Owner,Account_Research_Status,Contact_Research_Status,Qualification_Notes,Facility_Source_URL,Parent_Company_Source_URL,Source_Dataset,Source_As_Of_Date,Research_Date,State_Points_Reference,Sector_Points_Reference,Scale_Points_Reference,Data_Quality_Points_Reference,Viability_Points_Reference,Lead_Score_Reference,Lead_Rank_Reference,Lead_Priority_Reference
NE-001,GHGRP-1006366,1006366,"ND Paper Inc - Rumford Division - Rumford, ME",ND Paper Inc - Rumford Division,ND PAPER LLC,100.0,Pulp and Paper,322120,Rumford,ME,04276,35 HARTFORD ST,Oxford County,44.5508,-70.5411,416873.85,Very Large Reporting Load,Energy Manager,Director of Procurement,Role-based target; individual person not yet verified,Industrial High-Load,Sales Rep C - Northern New England,Verified from EPA source,Role identified; person not yet verified,High-load manufacturing prospect with a clear energy-management and procurement use case.,https://www.epa.gov/ghgreporting/data-sets,https://www.epa.gov/system/files/other-files/2024-10/ghgp_data_parent_company.xlsb,EPA GHGRP 2023 Direct Point Emitters,2024-08-16,2026-07-30,12,30,25,10,10,87,1,High
NE-002,GHGRP-1003048,1003048,"Sappi North America, Inc. - Somerset Operations - Skowhegan, ME","Sappi North America, Inc. - Somerset Operations",SAPPI NORTH AMERICA INC,100.0,"Pulp and Paper,Waste",322120,Skowhegan,ME,04976,1329 WATERVILLE ROAD,Somerset County,44.707585,-69.641313,316253.638,Very Large Reporting Load,Energy Manager,Director of Procurement,Role-based target; individual person not yet verified,Industrial High-Load,Sales Rep C - Northern New England,Verified from EPA source,Role identified; person not yet verified,High-load manufacturing and waste operation; prioritize energy and procurement stakeholders.,https://www.epa.gov/ghgreporting/data-sets,https://www.epa.gov/system/files/other-files/2024-10/ghgp_data_parent_company.xlsb,EPA GHGRP 2023 Direct Point Emitters,2024-08-16,2026-07-30,12,30,25,10,10,87,2,High
NE-003,GHGRP-1001889,1001889,"WOODLAND PULP LLC - Baileyville, ME",WOODLAND PULP LLC,INTERNATIONAL GRAND INVESTMENT CORP,100.0,"Pulp and Paper,Waste",322110,Baileyville,ME,04694,144 MAIN ST.,Washington County,45.156944,-67.404722,258839.416,Very Large Reporting Load,Energy Manager,Director of Procurement,Role-based target; individual person not yet verified,Industrial High-Load,Sales Rep C - Northern New England,Verified from EPA source,Role identified; person not yet verified,High-load manufacturing and waste operation; prioritize energy and procurement stakeholders.,https://www.epa.gov/ghgreporting/data-sets,https://www.epa.gov/system/files/other-files/2024-10/ghgp_data_parent_company.xlsb,EPA GHGRP 2023 Direct Point Emitters,2024-08-16,2026-07-30,12,30,25,10,10,87,3,High
NE-004,GHGRP-1006065,1006065,"KIMBERLY-CLARK TISSUE MILL - New Milford, CT",KIMBERLY-CLARK TISSUE MILL,KIMBERLY-CLARK CORP,100.0,Pulp and Paper,322120,New Milford,CT,06776,58 PICKETT DISTRICT RD,Litchfield County,41.55869,-73.41006,139054.776,Large Reporting Load,Energy Manager,Director of Procurement,Role-based target; individual person not yet verified,Industrial High-Load,Sales Rep B - Connecticut/Rhode Island,Verified from EPA source,Role identified; person not yet verified,High-load manufacturing prospect with a clear energy-management and procurement use case.,https://www.epa.gov/ghgreporting/data-sets,https://www.epa.gov/system/files/other-files/2024-10/ghgp_data_parent_company.xlsb,EPA GHGRP 2023 Direct Point Emitters,2024-08-16,2026-07-30,16,30,20,10,10,86,4,High
NE-005,GHGRP-1000056,1000056,"SPECIALTY MINERALS - Adams, MA",SPECIALTY MINERALS,MINERALS TECHNOLOGIES INC,100.0,Minerals,327410,Adams,MA,01220,260 COLUMBIA STREET,Berkshire County,42.6432,-73.1135,104307.134,Large Reporting Load,Plant Manager,Director of Strategic Sourcing,Role-based target; individual person not yet verified,Industrial High-Load,Sales Rep A - Massachusetts,Verified from EPA source,Role identified; person not yet verified,Industrial process-load prospect with potential power and natural-gas purchasing needs.,https://www.epa.gov/ghgreporting/data-sets,https://www.epa.gov/system/files/other-files/2024-10/ghgp_data_parent_company.xlsb,EPA GHGRP 2023 Direct Point Emitters,2024-08-16,2026-07-30,20,26,20,10,10,86,5,High
NE-006,GHGRP-1005710,1005710,"SEMASS PARTNERSHIP RESOURCE RECOVERY FACILITY - Rochester, MA",SEMASS PARTNERSHIP RESOURCE RECOVERY FACILITY,COVANTA HOLDING CORP,100.0,Waste,562213,Rochester,MA,02770,141 CRANBERRY HIGHWAY ROUTE 28,Plymouth County,41.805415,-70.782559,423563.364,Very Large Reporting Load,Director of Operations,Facilities Manager,Role-based target; individual person not yet verified,Waste and Environmental,Sales Rep A - Massachusetts,Verified from EPA source,Role identified; person not yet verified,"Waste-sector facility; qualify electricity, natural-gas, and multi-site purchasing needs.",https://www.epa.gov/ghgreporting/data-sets,https://www.epa.gov/system/files/other-files/2024-10/ghgp_data_parent_company.xlsb,EPA GHGRP 2023 Direct Point Emitters,2024-08-16,2026-07-30,20,20,25,10,9,84,6,High
NE-007,GHGRP-1001289,1001289,"MIT Central Utility Plant - Cambridge, MA",MIT Central Utility Plant,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,100.0,Other,611310,Cambridge,MA,02139,59 VASSAR ST,Middlesex,42.3611,-71.0934,163803.582,Large Reporting Load,Director of Facilities,Energy and Sustainability Manager,Role-based target; individual person not yet verified,Facilities and Institutions,Sales Rep A - Massachusetts,Verified from EPA source,Role identified; person not yet verified,General commercial or institutional facility; validate site portfolio and purchasing authority.,https://www.epa.gov/ghgreporting/data-sets,https://www.epa.gov/system/files/other-files/2024-10/ghgp_data_parent_company.xlsb,EPA GHGRP 2023 Direct Point Emitters,2024-08-16,2026-07-30,20,22,20,10,10,82,7,High
NE-008,GHGRP-1005136,1005136,"UMASS PHYSICAL PLANT BUILDING - Amherst, MA",UMASS PHYSICAL PLANT BUILDING,UNIVERSITY OF MASSACHUSETTS,100.0,Other,611310,Amherst,MA,01003,360 CAMPUS CENTER WAY,Hampshire County,42.389978,-72.537008,103468.332,Large Reporting Load,Director of Facilities,Energy and Sustainability Manager,Role-based target; individual person not yet verified,Facilities and Institutions,Sales Rep A - Massachusetts,Verified from EPA source,Role identified; person not yet verified,General commercial or institutional facility; validate site portfolio and purchasing authority.,https://www.epa.gov/ghgreporting/data-sets,https://www.epa.gov/system/files/other-files/2024-10/ghgp_data_parent_company.xlsb,EPA GHGRP 2023 Direct Point Emitters,2024-08-16,2026-07-30,20,22,20,10,10,82,8,High
NE-009,GHGRP-1003488,1003488,"RAND-WHITNEY CONTAINERBOARD LP - Montville, CT",RAND-WHITNEY CONTAINERBOARD LP,THE KRAFT GROUP,100.0,Pulp and Paper,322130,Montville,CT,06353,370 Route 163,New London County,41.452778,-72.136111,92176.752,Mid Reporting Load,Energy Manager,Director of Procurement,Role-based target; individual person not yet verified,Industrial High-Load,Sales Rep B - Connecticut/Rhode Island,Verified from EPA source,Role identified; person not yet verified,High-load manufacturing prospect with a clear energy-management and procurement use case.,https://www.epa.gov/ghgreporting/data-sets,https://www.epa.gov/system/files/other-files/2024-10/ghgp_data_parent_company.xlsb,EPA GHGRP 2023 Direct Point Emitters,2024-08-16,2026-07-30,16,30,15,10,10,81,9,High
NE-010,GHGRP-1004283,1004283,"Wheelabrator Bridgeport L.P. - Bridgeport, CT",Wheelabrator Bridgeport L.P.,WHEELABRATOR TECHNOLOGIES HOLDINGS INC,100.0,Waste,562213,Bridgeport,CT,06605,6 HOWARD AVE,Fairfield County,41.162485,-73.207518,309543.362,Very Large Reporting Load,Director of Operations,Facilities Manager,Role-based target; individual person not yet verified,Waste and Environmental,Sales Rep B - Connecticut/Rhode Island,Verified from EPA source,Role identified; person not yet verified,"Waste-sector facility; qualify electricity, natural-gas, and multi-site purchasing needs.",https://www.epa.gov/ghgreporting/data-sets,https://www.epa.gov/system/files/other-files/2024-10/ghgp_data_parent_company.xlsb,EPA GHGRP 2023 Direct Point Emitters,2024-08-16,2026-07-30,16,20,25,10,9,80,10,High
