"GHGRP_Facility_ID__c","Account Name","Account Site","Parent_Company__c","EPA_Industry_Sector__c","Billing Street","Billing City","Billing State/Province","Billing Country","Billing Zip/Postal Code","Target_Decision_Maker_Role__c","Campaign_Segment__c","Rating","Description"
"GHGRP-1006366","ND Paper Inc - Rumford Division - Rumford, ME","ND Paper Inc - Rumford Division","ND PAPER LLC","Pulp and Paper","35 HARTFORD ST","Rumford","Maine","United States","04276","Energy Manager","Industrial High-Load","Hot","High-load manufacturing prospect with a clear energy-management and procurement use case."
"GHGRP-1003048","Sappi North America, Inc. - Somerset Operations - Skowhegan, ME","Sappi North America, Inc. - Somerset Operations","SAPPI NORTH AMERICA INC","Pulp and Paper,Waste","1329 WATERVILLE ROAD","Skowhegan","Maine","United States","04976","Energy Manager","Industrial High-Load","Hot","High-load manufacturing and waste operation; prioritize energy and procurement stakeholders."
"GHGRP-1001889","WOODLAND PULP LLC - Baileyville, ME","WOODLAND PULP LLC","INTERNATIONAL GRAND INVESTMENT CORP","Pulp and Paper,Waste","144 MAIN ST.","Baileyville","Maine","United States","04694","Energy Manager","Industrial High-Load","Hot","High-load manufacturing and waste operation; prioritize energy and procurement stakeholders."
"GHGRP-1006065","KIMBERLY-CLARK TISSUE MILL - New Milford, CT","KIMBERLY-CLARK TISSUE MILL","KIMBERLY-CLARK CORP","Pulp and Paper","58 PICKETT DISTRICT RD","New Milford","Connecticut","United States","06776","Energy Manager","Industrial High-Load","Hot","High-load manufacturing prospect with a clear energy-management and procurement use case."
"GHGRP-1000056","SPECIALTY MINERALS - Adams, MA","SPECIALTY MINERALS","MINERALS TECHNOLOGIES INC","Minerals","260 COLUMBIA STREET","Adams","Massachusetts","United States","01220","Plant Manager","Industrial High-Load","Hot","Industrial process-load prospect with potential power and natural-gas purchasing needs."
"GHGRP-1005710","SEMASS PARTNERSHIP RESOURCE RECOVERY FACILITY - Rochester, MA","SEMASS PARTNERSHIP RESOURCE RECOVERY FACILITY","COVANTA HOLDING CORP","Waste","141 CRANBERRY HIGHWAY ROUTE 28","Rochester","Massachusetts","United States","02770","Director of Operations","Waste and Environmental","Hot","Waste-sector facility; qualify electricity, natural-gas, and multi-site purchasing needs."
"GHGRP-1001289","MIT Central Utility Plant - Cambridge, MA","MIT Central Utility Plant","MASSACHUSETTS INSTITUTE OF TECHNOLOGY","Other","59 VASSAR ST","Cambridge","Massachusetts","United States","02139","Director of Facilities","Facilities and Institutions","Hot","General commercial or institutional facility; validate site portfolio and purchasing authority."
"GHGRP-1005136","UMASS PHYSICAL PLANT BUILDING - Amherst, MA","UMASS PHYSICAL PLANT BUILDING","UNIVERSITY OF MASSACHUSETTS","Other","360 CAMPUS CENTER WAY","Amherst","Massachusetts","United States","01003","Director of Facilities","Facilities and Institutions","Hot","General commercial or institutional facility; validate site portfolio and purchasing authority."
"GHGRP-1003488","RAND-WHITNEY CONTAINERBOARD LP - Montville, CT","RAND-WHITNEY CONTAINERBOARD LP","THE KRAFT GROUP","Pulp and Paper","370 Route 163","Montville","Connecticut","United States","06353","Energy Manager","Industrial High-Load","Hot","High-load manufacturing prospect with a clear energy-management and procurement use case."
"GHGRP-1004283","Wheelabrator Bridgeport L.P. - Bridgeport, CT","Wheelabrator Bridgeport L.P.","WHEELABRATOR TECHNOLOGIES HOLDINGS INC","Waste","6 HOWARD AVE","Bridgeport","Connecticut","United States","06605","Director of Operations","Waste and Environmental","Hot","Waste-sector facility; qualify electricity, natural-gas, and multi-site purchasing needs."
"GHGRP-1005037","ERVING PAPER MILLS INC - Erving, MA","ERVING PAPER MILLS INC","ERVING INDUSTRIES INC","Pulp and Paper","97 EAST MAIN STREET","Erving","Massachusetts","United States","01344","Energy Manager","Industrial High-Load","Hot","High-load manufacturing prospect with a clear energy-management and procurement use case."
"GHGRP-1005970","NEWARK AMERICA - Fitchburg, MA","NEWARK AMERICA","GREIF INC","Pulp and Paper","100 NEWARK WAY","Fitchburg","Massachusetts","United States","01420","Energy Manager","Industrial High-Load","Hot","High-load manufacturing prospect with a clear energy-management and procurement use case."
"GHGRP-1005179","COVANTA HAVERHILL INC - Haverhill, MA","COVANTA HAVERHILL INC","COVANTA HOLDING CORP","Waste","100 RECOVERY WAY","Haverhill","Massachusetts","United States","01835","Director of Operations","Waste and Environmental","Hot","Waste-sector facility; qualify electricity, natural-gas, and multi-site purchasing needs."
"GHGRP-1006267","WHEELABRATOR MILLBURY INC - Millbury, MA","WHEELABRATOR MILLBURY INC","WHEELABRATOR TECHNOLOGIES HOLDINGS INC","Waste","331 SOUTHWEST CUTOFF","Millbury","Massachusetts","United States","01527","Director of Operations","Waste and Environmental","Hot","Waste-sector facility; qualify electricity, natural-gas, and multi-site purchasing needs."
"GHGRP-1004101","WHEELABRATOR NORTH ANDOVER INC. - North Andover, MA","WHEELABRATOR NORTH ANDOVER INC.","WHEELABRATOR TECHNOLOGIES HOLDINGS INC","Waste","285 HOLT ROAD","North Andover","Massachusetts","United States","01845","Director of Operations","Waste and Environmental","Hot","Waste-sector facility; qualify electricity, natural-gas, and multi-site purchasing needs."
"GHGRP-1004287","Wheelabrator Saugus Inc. - Saugus, MA","Wheelabrator Saugus Inc.","WHEELABRATOR TECHNOLOGIES HOLDINGS INC","Waste","100 SALEM TURNPIKE","Saugus","Massachusetts","United States","01906","Director of Operations","Waste and Environmental","Hot","Waste-sector facility; qualify electricity, natural-gas, and multi-site purchasing needs."
"GHGRP-1003594","DRAGON CEMENT - Thomaston, ME","DRAGON CEMENT","GIANT CEMENT HOLDING INC","Minerals","107 NEW COUNTY RD","Thomaston","Maine","United States","04861","Plant Manager","Industrial High-Load","Hot","Industrial process-load prospect with potential power and natural-gas purchasing needs."
"GHGRP-1004343","Pfizer - Andover, MA","Pfizer","PFIZER INC","Chemicals","1 BURTT RD.","Andover","Massachusetts","United States","01810","Plant Manager","Industrial High-Load","Hot","Energy-intensive industrial facility; prioritize operational and procurement stakeholders."
"GHGRP-1001068","Rousselot Peabody, Inc. - Peabody, MA","Rousselot Peabody, Inc.","ROUSSELOT INC","Chemicals","227 WASHINGTON ST.","Peabody","Massachusetts","United States","01960","Plant Manager","Industrial High-Load","Hot","Energy-intensive industrial facility; prioritize operational and procurement stakeholders."
"GHGRP-1000383","BIOGEN INC - Cambridge, MA","BIOGEN INC","BIOGEN INC","Chemicals","225 Binney Street","Cambridge","Massachusetts","United States","02142","Plant Manager","Industrial High-Load","Hot","Energy-intensive industrial facility; prioritize operational and procurement stakeholders."
"GHGRP-1006902","UMASS MEDICAL SCHOOL - Worcester, MA","UMASS MEDICAL SCHOOL","COMMONWEALTH OF MASSACHUSETTS","Other","55 LAKE AVE NORTH","Worcester","Massachusetts","United States","01655","Director of Facilities","Facilities and Institutions","Hot","General commercial or institutional facility; validate site portfolio and purchasing authority."
